DOMAIN	ACCESSION	Apophysomyces_elegans_B7760	Apophysomyces_ossiformis__NRRL_A-21654	Apophysomyces_sp___BC1015	Apophysomyces_sp___BC1021	Apophysomyces_sp___BC1034	Apophysomyces_trapeziformis_B9324	Apophysomyces_variabilis__NCCPF_102052	Saksenaea_oblongisporus_B3353	Saksenaea_vasiformis_B4078
RPOL_N	PF14700.6	1	1	1	1	2	1	1	1	1
AAA_assoc_2	PF16193.5	1	1	1	1	2	1	1	1	1
Phage_lysozyme	PF00959.19	2	1	1	0	2	2	2	0	0
QRPTase_C	PF01729.19	1	1	1	1	2	1	1	1	1
Sec15	PF04091.12	1	1	1	1	1	2	1	1	1
Ribosomal_S16	PF00886.19	1	1	1	1	2	1	1	1	1
Cactin_mid	PF10312.9	1	1	1	1	1	2	1	1	1
NCA2	PF08637.10	1	1	1	1	1	1	2	1	1
B3_4	PF03483.17	1	1	1	1	2	1	1	1	1
EMC1_C	PF07774.13	1	1	1	1	1	1	2	1	1
POTRA	PF07244.15	0	0	5	0	5	0	0	0	0
PROCN	PF08083.11	1	1	1	1	1	1	1	1	2
Glycos_transf_3	PF00591.21	1	1	1	1	2	1	1	1	1
N2227	PF07942.12	2	1	1	1	1	1	1	1	1
Fra10Ac1	PF09725.9	1	1	1	2	1	1	1	0	2
PIG-S	PF10510.9	2	1	1	1	1	1	1	1	1
Isy1	PF06246.12	1	1	1	1	2	1	1	1	1
Tub	PF01167.18	1	1	1	1	1	1	2	1	1
C9orf72-like	PF15019.6	1	1	2	2	1	1	1	1	0
DWNN	PF08783.11	2	1	1	1	1	1	1	1	1
RRN3	PF05327.11	1	1	1	1	1	1	2	1	1
SAICAR_synt	PF01259.18	1	1	1	1	2	1	1	1	1
Peptidase_M17_N	PF02789.17	1	1	1	1	2	1	1	1	1
Peptidase_M48_N	PF16491.5	1	1	1	1	2	1	1	1	1
Glycos_trans_3N	PF02885.17	1	1	1	1	2	1	1	1	1
EFP_N	PF08207.12	1	1	1	1	2	1	1	1	1
Ccdc124	PF06244.12	1	1	1	1	1	1	2	1	1
DBP10CT	PF08147.12	1	1	1	2	1	1	1	1	1
ANAPC10	PF03256.16	1	1	1	1	1	1	1	2	1
GARS_C	PF02843.16	0	1	2	1	2	1	1	1	1
APG17	PF04108.12	1	1	1	1	1	1	1	1	2
Ecm29	PF13001.7	1	1	1	1	1	1	2	1	1
CactinC_cactus	PF09732.9	1	1	1	1	1	2	1	1	1
Pantoate_transf	PF02548.15	1	1	1	1	2	1	1	1	1
Abhydrolase_4	PF08386.10	1	1	2	2	2	1	1	0	0
H2TH	PF06831.14	1	0	2	1	2	1	1	1	1
DUF2427	PF10348.9	2	1	1	1	1	2	0	1	1
Tyr_Deacylase	PF02580.16	2	1	1	1	1	1	1	1	1
SF3A3	PF16837.5	2	1	1	1	1	1	1	1	1
OHCU_decarbox	PF09349.10	1	1	1	1	1	2	1	1	1
SAE2	PF08573.10	0	2	2	2	2	0	0	2	0
ATP-synt_E	PF05680.12	1	1	1	1	1	1	1	2	1
zf-NPL4	PF05020.15	1	1	1	2	1	1	1	1	1
Tex_YqgF	PF16921.5	1	1	1	1	2	1	1	1	1
DUF974	PF06159.13	1	1	1	1	1	1	2	1	1
ACR_tran	PF00873.19	0	0	8	0	2	0	0	0	0
NPR3	PF03666.13	1	2	1	1	1	2	0	1	1
SRP9-21	PF05486.12	2	1	1	1	1	1	1	1	1
Rad52_Rad22	PF04098.15	0	1	1	1	1	2	2	1	1
SHQ1	PF04925.15	1	1	1	1	1	1	2	1	1
PRO8NT	PF08082.11	1	1	1	1	1	1	1	1	2
GRDP-like	PF07173.12	3	3	0	0	0	4	0	0	0
SMAP	PF15477.6	1	1	1	1	1	1	1	2	1
eIF3_N	PF09440.10	2	1	1	1	1	1	1	1	1
DOCK_N	PF16172.5	2	1	1	1	1	1	1	0	2
BPL_C	PF02237.17	1	1	2	1	2	1	1	0	1
EFP	PF01132.20	1	1	1	1	2	1	1	1	1
CRT-like	PF08627.10	1	1	1	1	1	1	1	2	1
SCAI	PF12070.8	1	1	1	1	1	1	1	2	1
SLBB	PF10531.9	1	1	1	1	3	0	1	1	1
DUF1308	PF07000.11	1	1	1	1	1	1	1	2	1
Sec3_C	PF09763.9	1	1	1	1	1	2	2	0	1
DUF4604	PF15377.6	3	1	1	1	1	1	1	1	0
CTC1	PF15489.6	1	1	1	1	1	2	1	1	1
Acid_PPase	PF12689.7	1	1	1	1	1	3	0	1	1
Hep_59	PF07052.11	1	1	1	1	1	2	1	1	1
PARP	PF00644.20	1	1	1	1	1	1	1	2	1
Oxidored_molyb	PF00174.19	1	0	2	1	2	1	1	1	1
hSac2	PF12456.8	1	1	1	1	1	2	1	1	1
WGR	PF05406.15	1	1	1	1	1	1	1	2	1
Ribosomal_S18	PF01084.20	1	1	2	1	2	1	1	0	1
HlyD_3	PF13437.6	0	0	4	0	5	0	0	1	0
YL1	PF05764.13	1	1	1	1	1	1	1	1	2
Flavokinase	PF01687.17	1	1	1	1	2	1	1	1	1
SH2_2	PF14633.6	1	1	1	1	1	1	2	1	1
HPPK	PF01288.20	1	1	1	1	2	1	1	1	1
Rad21_Rec8_N	PF04825.13	1	2	1	1	1	1	1	1	1
vATP-synt_AC39	PF01992.16	1	1	1	1	1	1	1	1	2
GATase_5	PF13507.6	1	1	1	1	2	1	1	1	1
PLU-1	PF08429.11	1	1	1	1	1	1	1	1	2
FANCI_S1	PF14675.6	1	1	1	1	1	1	1	1	2
PrpF	PF04303.13	1	1	2	1	1	1	1	1	1
SGTA_dimer	PF16546.5	2	1	1	1	1	1	1	1	1
Chorismate_synt	PF01264.21	1	1	1	1	2	1	1	1	1
PH_BEACH	PF14844.6	1	1	1	1	1	2	1	1	1
Trm112p	PF03966.16	1	1	1	1	2	1	1	1	1
CDC37_N	PF03234.14	1	1	1	1	1	2	1	1	1
Pam17	PF08566.10	1	1	1	1	1	1	2	1	1
DUF2013	PF09431.10	1	1	1	1	1	1	1	1	1
DUF2040	PF09745.9	1	1	1	1	1	1	1	1	1
ATG11	PF10377.9	1	1	1	1	1	1	1	1	1
DSS1_SEM1	PF05160.13	1	1	1	1	1	1	1	1	1
RasGEF_N_2	PF14663.6	1	1	1	1	1	1	1	1	1
Peroxin-3	PF04882.12	1	1	1	1	1	2	0	1	1
DHR-2	PF06920.13	1	1	1	1	1	1	1	1	1
Voldacs	PF03517.13	1	1	1	1	1	1	1	1	1
I_LWEQ	PF01608.17	1	1	1	1	1	1	1	1	1
NAD_binding_5	PF07994.12	1	1	1	1	1	1	1	1	1
Snapin_Pallidin	PF14712.6	1	2	1	1	1	0	1	0	2
RPN2_C	PF18004.1	1	1	1	1	1	1	1	1	1
Protoglobin	PF11563.8	1	1	1	1	1	1	1	1	1
ADP_ribosyl_GH	PF03747.14	1	1	1	1	1	1	1	1	1
Img2	PF05046.14	1	1	1	1	1	1	1	1	1
FNIP_C	PF14638.6	1	1	1	1	1	1	1	1	1
Dynein_heavy	PF03028.15	1	1	1	1	1	1	1	1	1
DUF2828	PF11443.8	1	1	1	1	1	1	1	1	1
CHIP_TPR_N	PF18391.1	1	1	1	1	1	1	1	1	1
Med20	PF08612.11	2	1	1	1	1	1	0	1	1
AOX	PF01786.17	1	1	1	1	1	1	1	1	1
DHC_N1	PF08385.12	1	1	1	1	1	1	1	1	1
DUF2423	PF10338.9	1	1	1	1	1	1	1	1	1
Not3	PF04065.15	1	1	1	1	1	1	1	1	1
RRP14	PF15459.6	1	1	1	1	1	1	1	1	1
DUF1977	PF09320.11	1	1	1	1	1	1	1	1	1
HAT	PF02184.16	1	1	1	1	1	1	1	1	1
EBP	PF05241.12	1	1	1	1	1	1	1	1	1
PepX_C	PF08530.10	1	2	1	1	2	1	1	0	0
PNRC	PF15365.6	1	1	1	1	1	1	1	1	1
AAA_lid_11	PF18198.1	1	1	1	1	1	1	1	1	1
ERG2_Sigma1R	PF04622.12	1	1	1	1	1	1	1	1	1
CoA_binding_2	PF13380.6	1	1	1	1	1	1	1	1	1
NARP1	PF12569.8	1	1	1	1	1	1	1	1	1
AtuA	PF07287.11	1	1	1	1	1	1	1	1	1
ETC_C1_NDUFA5	PF04716.14	1	1	1	1	1	1	1	1	1
DUF866	PF05907.13	1	1	1	1	1	1	1	1	1
NFACT-C	PF11923.8	1	1	1	1	1	1	1	1	1
RPN5_C	PF18098.1	1	1	1	1	1	1	1	1	1
Beta-lactamase	PF00144.24	1	1	1	1	1	1	1	1	1
CLU	PF13236.6	1	1	1	1	1	1	1	1	1
TFIIE_alpha	PF02002.17	1	1	1	1	1	2	0	1	1
Coatomer_E	PF04733.14	1	1	1	1	1	1	1	1	1
LeuA_dimer	PF08502.10	1	1	2	1	2	1	1	0	0
SART-1	PF03343.13	1	1	1	1	1	1	1	1	1
Ribosomal_S13_N	PF08069.12	1	1	1	1	1	1	1	1	1
DeoC	PF01791.9	1	1	1	1	1	1	1	1	1
Haem_degrading	PF03928.14	1	1	1	1	1	1	1	1	1
CHS5_N	PF16892.5	1	1	1	1	1	1	1	1	1
WHEP-TRS	PF00458.20	1	1	1	1	1	1	1	1	1
eIF3g	PF12353.8	1	1	1	1	1	1	1	1	1
RTC	PF01137.21	1	1	1	1	1	1	1	1	1
tRNA_bind_2	PF13725.6	1	1	1	1	1	1	1	1	1
Erg28	PF03694.13	1	1	1	1	1	1	1	1	1
CDC73_N	PF16050.5	1	1	1	1	1	1	1	1	1
cwf18	PF08315.12	1	1	1	1	1	1	1	1	1
DUF1744	PF08490.12	1	1	1	1	1	1	1	1	1
TRAPPC-Trs85	PF12739.7	1	1	1	1	1	2	0	1	1
RNA_pol_Rpa2_4	PF06883.12	1	1	1	1	1	1	1	1	1
DNA_pol_phi	PF04931.13	1	1	1	1	1	1	1	1	1
Cu_amine_oxidN2	PF02727.16	1	1	1	1	1	1	1	1	1
Cgr1	PF03879.14	1	1	1	1	1	1	1	1	1
PRCC	PF10253.9	1	1	1	1	1	1	1	1	1
Peptidase_S9_N	PF02897.15	1	1	1	1	1	1	1	1	1
DUF3437	PF11919.8	1	1	1	1	1	1	1	1	1
COQ9	PF08511.11	1	1	1	1	1	1	1	1	1
GatB_Yqey	PF02637.18	1	0	2	1	2	1	0	1	1
S36_mt	PF10937.8	1	1	1	1	1	1	1	1	1
DUF4211	PF13926.6	1	1	1	1	1	1	1	1	1
Met_synt_B12	PF02965.17	1	1	1	1	1	1	1	1	1
DNA_primase_S	PF01896.19	1	1	1	1	1	1	1	1	1
Mnd1	PF03962.15	1	1	1	1	1	1	1	1	1
PI31_Prot_C	PF08577.11	1	1	1	1	1	1	1	1	1
DUF1682	PF07946.14	1	1	1	1	1	1	1	1	1
HHH_7	PF14635.6	1	1	1	1	1	1	1	1	1
NOGCT	PF08155.11	1	1	1	1	1	1	1	1	1
Tho2	PF11262.8	1	1	1	1	1	1	1	1	1
Nrap_D6	PF17407.2	1	1	1	1	1	1	1	1	1
MRP-L47	PF06984.13	1	1	1	1	1	1	1	1	1
TIP120	PF08623.10	1	1	1	1	1	1	1	1	1
HgmA	PF04209.13	1	1	1	1	1	1	1	1	1
RPN1_C	PF18051.1	1	1	1	1	1	1	1	1	1
Med22	PF06179.12	1	1	1	1	1	1	1	1	1
V_ATPase_I	PF01496.19	1	1	1	1	1	1	1	1	1
TTKRSYEDQ	PF10212.9	1	1	1	1	1	1	1	1	1
Med8	PF10232.9	1	1	1	1	1	1	1	1	1
ORC2	PF04084.14	1	1	1	1	1	1	1	1	1
Myotub-related	PF06602.14	1	1	1	1	1	1	1	1	1
PSP	PF04046.16	1	1	1	1	1	1	1	1	1
MTABC_N	PF16185.5	1	1	2	1	2	0	0	1	1
AAA_lid_1	PF17857.1	1	1	1	1	1	1	1	1	1
Pet127	PF08634.10	1	1	1	1	1	1	1	1	1
MR_MLE_C	PF13378.6	1	1	1	1	1	1	1	1	1
rRNA_processing	PF08524.11	1	1	1	1	1	1	1	1	1
BAF250_C	PF12031.8	1	1	1	1	1	1	1	1	1
Catalase_C	PF18011.1	1	1	1	1	1	1	1	1	1
PRP1_N	PF06424.12	1	1	1	1	1	1	1	1	1
Fas_alpha_ACP	PF18325.1	1	1	1	1	1	1	1	1	1
GTP_CH_N	PF12471.8	1	1	1	1	1	1	1	1	1
GLTP	PF08718.11	1	1	1	1	1	1	1	1	1
Radical_SAM_C	PF16199.5	1	1	1	1	1	1	1	1	1
NADH_u_ox_C	PF12853.7	1	1	1	1	1	1	1	1	1
Peptidase_M10	PF00413.24	2	1	0	0	0	2	4	0	0
Rubrerythrin	PF02915.17	1	1	1	1	1	1	1	1	1
RNA_pol_Rpc82	PF05645.13	1	1	1	1	1	1	1	1	1
Fcf2	PF08698.11	1	1	1	1	1	1	1	1	1
She9_MDM33	PF05546.11	1	1	1	1	1	1	1	1	1
VPS11_C	PF12451.8	1	1	1	1	1	1	1	1	1
Nkap_C	PF06047.11	1	1	1	1	1	1	1	1	1
Kinetochor_Ybp2	PF08568.10	1	1	1	1	1	1	1	1	1
PRP21_like_P	PF12230.8	1	1	1	1	1	1	1	1	1
MOSC_N	PF03476.16	1	1	1	1	1	1	1	1	1
DUF423	PF04241.15	1	1	1	1	1	1	1	1	1
Glyco_transf_10	PF00852.19	1	1	1	1	1	1	1	1	1
TFA2_Winged_2	PF18121.1	1	1	1	1	1	1	1	1	1
FAS_I_H	PF18314.1	1	1	1	1	1	1	1	1	1
PMM	PF03332.13	1	1	1	1	1	1	1	1	1
MIF	PF01187.18	1	1	1	1	1	1	1	1	1
APG6	PF04111.12	1	1	1	1	1	1	1	1	1
DUF2433	PF10360.9	1	1	1	1	1	1	1	1	1
CNOT11	PF10155.9	1	1	1	1	1	1	1	1	1
DUF382	PF04037.13	1	1	1	1	1	1	1	1	1
Med31	PF05669.12	1	1	1	1	1	1	1	1	1
SRP-alpha_N	PF04086.13	1	1	1	1	1	1	1	1	1
Intein_splicing	PF14890.6	1	1	1	1	1	1	1	1	1
Pescadillo_N	PF06732.11	1	1	1	1	1	1	1	1	1
CDKN3	PF05706.12	1	2	0	1	1	1	1	1	1
XAP5	PF04921.14	1	1	1	1	1	1	1	1	1
Ric8	PF10165.9	1	1	1	1	1	1	1	1	1
DUF747	PF05346.11	1	1	1	1	1	1	1	1	1
Nucleoside_tran	PF01733.18	1	1	1	1	1	0	0	2	2
NDUF_B7	PF05676.13	1	1	1	1	1	1	1	1	1
RED_N	PF07808.13	1	1	1	1	1	1	1	1	1
Thioredoxin_12	PF18400.1	1	1	1	1	1	1	1	1	1
RPN6_C_helix	PF18503.1	1	1	1	1	1	1	1	1	1
Glyco_hydro_36N	PF16875.5	1	1	1	1	1	1	1	1	1
DRIM	PF07539.12	1	1	1	1	1	1	1	1	1
Stm1_N	PF09598.10	1	1	1	1	1	1	1	1	1
RNA_pol_I_A49	PF06870.12	1	1	1	1	1	1	1	1	1
HTH_44	PF14641.6	1	1	1	1	1	1	1	1	1
Nsp1_C	PF05064.13	1	1	1	1	1	1	1	1	1
UNC45-central	PF11701.8	1	1	1	1	1	1	1	1	1
Fibrillarin	PF01269.17	1	1	1	1	1	1	1	1	1
TMEM234	PF10639.9	1	1	1	1	1	1	1	1	1
CPSF73-100_C	PF11718.8	1	1	1	1	1	1	1	1	1
UAE_UbL	PF14732.6	1	1	1	1	1	1	1	1	1
EXOSC1	PF10447.9	1	1	1	1	1	1	1	1	1
DBR1	PF05011.13	1	1	1	1	1	1	1	1	1
Fmp27_GFWDK	PF10347.9	1	1	1	1	1	1	1	1	1
NOG1_N	PF17835.1	1	1	1	1	1	1	1	1	1
Nicastrin	PF05450.15	1	1	1	1	1	1	2	0	1
NMT	PF01233.19	1	1	1	1	1	1	1	1	1
YIF1	PF03878.15	1	1	1	1	1	1	1	1	1
SF3b1	PF08920.10	1	1	1	1	1	1	1	1	1
Ribonuc_P_40	PF08584.11	1	1	1	1	1	1	1	1	1
DUF3381	PF11861.8	1	1	1	1	1	1	1	1	1
GCS	PF03074.16	1	1	1	1	1	1	1	1	1
DUF2373	PF10180.9	1	1	1	1	1	1	1	1	1
Cwf_Cwc_15	PF04889.12	1	1	1	1	1	1	1	1	1
Wbp11	PF09429.10	1	1	1	1	1	1	1	1	1
Spermine_synth	PF01564.17	1	1	1	1	1	1	1	1	1
eIF3_subunit	PF08597.10	1	1	1	1	1	1	1	1	1
FACT-Spt16_Nlob	PF14826.6	1	1	1	1	1	1	1	1	1
GSH_synth_ATP	PF03917.17	1	1	1	1	1	1	1	1	1
SF3A2	PF16835.5	1	1	1	1	1	1	1	1	1
CSTF_C	PF14304.6	1	1	1	1	1	1	1	1	1
DUF1929	PF09118.11	1	1	1	1	1	1	1	1	1
Rpn3_C	PF08375.11	1	1	1	1	1	1	1	1	1
Rad10	PF03834.14	1	1	1	1	1	1	1	1	1
ORC4_C	PF14629.6	1	1	1	1	1	1	1	1	1
RPAP2_Rtr1	PF04181.13	1	1	1	1	1	1	1	1	1
DNA_pol_D_N	PF18018.1	1	1	1	1	1	1	1	1	1
Thg1	PF04446.12	1	1	1	1	1	1	1	1	1
CIA30	PF08547.12	1	1	1	1	1	1	1	1	1
FNIP_N	PF14636.6	1	1	1	1	1	1	1	1	1
JHD	PF17811.1	1	1	1	1	1	1	1	1	1
Vps8	PF12816.7	1	1	1	1	1	1	1	1	1
VRR_NUC	PF08774.11	1	1	1	1	1	1	1	1	1
Ssu72	PF04722.13	1	2	1	1	1	1	0	1	1
GARS_N	PF02844.15	0	1	1	1	2	1	1	1	1
ANAPC5	PF12862.7	1	1	1	1	1	1	1	1	1
CtaG_Cox11	PF04442.14	1	1	1	1	1	1	1	1	1
Inos-1-P_synth	PF01658.17	1	1	1	1	1	1	1	1	1
eIF3_p135	PF12807.7	1	1	1	1	1	1	1	1	1
RRM_2	PF04059.12	1	0	1	1	1	3	0	1	1
ATP-synt_ab_Xtn	PF16886.5	1	1	1	1	1	1	1	1	1
DHH	PF01368.20	1	1	2	1	2	1	0	0	1
Vps16_N	PF04841.13	1	1	1	1	1	1	1	1	1
Abp2	PF09441.10	1	1	1	1	1	1	1	1	1
DUF273	PF03314.14	1	1	1	1	1	1	1	1	1
Transglut_core	PF01841.19	1	0	2	2	2	1	0	1	0
PROCT	PF08084.11	1	1	1	1	1	1	1	1	1
RPAP3_C	PF13877.6	1	1	1	1	1	1	1	1	1
D-ser_dehydrat	PF14031.6	1	1	1	1	1	1	1	1	1
zf_CCCH_4	PF18345.1	0	1	1	1	1	2	0	3	0
ORMDL	PF04061.14	1	1	1	1	1	1	1	1	1
RFC1	PF08519.12	1	1	1	1	1	1	1	1	1
MRP-L46	PF11788.8	1	1	1	1	1	1	1	1	1
AAA_8	PF12780.7	1	1	1	1	1	1	1	1	1
DUF3395	PF11875.8	1	1	1	1	1	1	1	1	1
TFIIA_gamma_N	PF02268.16	1	1	1	1	1	1	1	1	1
Peroxidase_2	PF01328.17	1	1	1	1	1	1	1	1	1
Sec66	PF09802.9	1	1	1	1	1	1	1	1	1
PRP8_domainIV	PF12134.8	1	1	1	1	1	1	1	1	1
PTPS	PF01242.19	1	2	1	1	1	2	0	0	1
Methyltrn_RNA_3	PF02598.17	1	1	1	1	1	1	1	1	1
DUF1838	PF08894.11	1	1	1	1	1	1	1	1	1
CTNNBL	PF08216.11	1	1	1	1	1	1	1	1	1
STI1	PF17830.1	1	1	1	1	1	1	1	1	1
Methyltransf_24	PF13578.6	1	1	1	1	1	1	1	1	1
Med17	PF10156.9	1	1	1	1	1	1	1	1	1
Pept_tRNA_hydro	PF01195.19	1	1	1	1	2	1	1	0	1
Lipid_DES	PF08557.10	1	1	1	1	1	1	1	1	1
Fe_hyd_SSU	PF02256.17	1	1	1	1	0	1	1	2	1
Glyco_transf_24	PF18404.1	1	1	1	1	1	1	1	1	1
SMK-1	PF04802.15	1	1	1	1	1	1	1	1	1
Smg4_UPF3	PF03467.15	1	1	1	1	1	1	1	1	1
ATE_C	PF04377.15	1	1	1	1	2	1	1	0	1
CLU_N	PF15044.6	1	1	1	1	1	1	1	1	1
CHZ	PF09649.10	1	1	1	1	1	1	1	1	1
U3snoRNP10	PF12397.8	1	1	1	1	1	1	1	1	1
HTH_9	PF08221.11	1	1	1	1	1	1	1	1	1
GCIP	PF13324.6	1	1	1	1	1	1	1	1	1
FmiP_Thoc5	PF09766.9	1	1	1	1	1	1	1	1	1
Symplekin_C	PF12295.8	1	1	1	1	1	1	1	1	1
eIF-5a	PF01287.20	1	1	1	1	1	1	1	1	1
FbpA	PF05833.11	1	1	1	1	1	1	1	1	1
RNA_pol_Rpb5_N	PF03871.14	1	1	1	1	1	1	1	1	1
Importin_rep_6	PF18829.1	1	1	1	1	1	1	1	1	1
DUF3591	PF12157.8	1	1	1	1	1	1	1	1	1
DUF2315	PF10231.9	1	1	1	1	1	1	1	1	1
TRAUB	PF08164.12	1	1	1	1	1	1	1	1	1
Nrap_D4	PF17405.2	1	1	1	1	1	1	1	1	1
COP-gamma_platf	PF08752.10	1	1	1	1	1	1	1	1	1
Pik1	PF11522.8	1	1	1	1	1	1	1	1	1
PH_13	PF16652.5	1	1	1	1	1	1	1	1	1
Spermine_synt_N	PF17284.2	1	1	1	1	1	1	1	1	1
Mak16	PF04874.14	1	1	1	1	1	1	1	1	1
RdRP_1	PF00680.20	1	1	1	1	1	1	1	1	1
AidB_N	PF18158.1	1	1	1	1	1	1	1	1	1
Nrap_D2	PF17403.2	1	1	1	1	1	1	1	1	1
Ydc2-catalyt	PF09159.10	2	1	1	1	1	1	1	0	1
Rcd1	PF04078.13	1	1	1	1	1	1	1	1	1
Nas2_N	PF18265.1	1	1	1	1	1	1	1	1	1
Nop52	PF05997.12	1	1	1	1	1	1	1	1	1
TIM21	PF08294.11	1	1	1	1	1	1	1	1	1
Sas10	PF09368.10	1	1	1	1	1	1	1	1	1
TAFII28	PF04719.14	1	1	1	1	1	1	1	1	1
Fmp27_WPPW	PF10359.9	1	1	1	1	1	1	1	1	1
zf-SNAP50_C	PF12251.8	1	1	1	1	1	1	1	1	1
Fes1	PF08609.10	1	1	1	1	1	1	1	1	1
RNA_Me_trans	PF04252.13	1	1	1	1	1	1	1	1	1
MAM33	PF02330.16	1	1	1	1	1	1	1	1	1
Ribo_biogen_C	PF04034.13	1	1	1	1	1	1	1	1	1
VAR1	PF05316.12	1	1	1	1	1	1	1	1	1
PFU	PF09070.11	1	1	1	1	1	1	1	1	1
NUC130_3NT	PF08158.12	1	1	1	1	1	1	1	1	1
FANCI_HD1	PF14679.6	0	1	1	1	1	1	1	1	2
DUF3384	PF11864.8	1	1	1	1	1	1	1	1	1
Polysacc_synt_4	PF04669.13	1	1	1	1	1	1	1	1	1
Ofd1_CTDD	PF10637.9	1	1	1	1	1	1	1	1	1
Pr_beta_C	PF12465.8	1	1	1	1	1	1	1	1	1
Mog1	PF04603.12	1	1	1	1	1	1	1	1	1
Bot1p	PF12298.8	1	1	1	1	1	1	1	1	1
DHC_N2	PF08393.13	1	1	1	1	1	1	1	1	1
Tuberin	PF03542.16	1	1	1	1	1	1	1	1	1
Transpeptidase	PF00905.22	0	0	4	0	5	0	0	0	0
CENP-K	PF11802.8	1	1	1	1	1	1	1	1	1
ASF1_hist_chap	PF04729.13	1	1	1	1	1	1	1	1	1
PRMT5	PF05185.16	1	1	1	1	1	1	1	1	1
Bac_DNA_binding	PF00216.21	0	0	4	0	5	0	0	0	0
Sec6	PF06046.13	1	1	1	1	1	1	1	1	1
Efg1	PF10153.9	1	1	1	1	1	1	1	1	1
SH2	PF00017.24	1	1	1	1	1	1	1	1	1
Uso1_p115_C	PF04871.13	1	1	1	1	1	1	1	1	1
COBRA1	PF06209.13	1	1	1	1	1	1	1	1	1
EIF_2_alpha	PF07541.12	1	1	1	1	1	1	1	1	1
Gcd10p	PF04189.13	1	1	1	1	1	1	1	1	1
AATF-Che1	PF13339.6	1	1	1	1	1	1	1	1	1
Indigoidine_A	PF04227.12	1	1	1	1	1	1	1	1	1
Prp18	PF02840.15	1	1	1	1	1	1	1	1	1
TFCD_C	PF12612.8	1	1	1	1	1	1	1	1	1
RPAP1_C	PF08620.10	1	1	1	1	1	1	1	1	1
Exostosin	PF03016.15	1	1	1	1	1	1	1	1	1
UPF0113_N	PF17833.1	1	1	1	1	1	1	1	1	1
Fis1_TPR_N	PF14852.6	1	1	1	1	1	1	1	1	1
Clathrin_lg_ch	PF01086.17	1	1	1	1	1	1	1	1	1
HBS1_N	PF08938.10	1	1	1	1	1	1	1	1	1
DCP1	PF06058.13	1	1	1	1	1	1	1	1	1
MOSC	PF03473.17	1	1	1	1	1	1	1	1	1
CSTF2_hinge	PF14327.6	1	1	1	1	1	1	1	1	1
B12-binding	PF02310.19	1	1	1	1	1	1	1	1	1
NPC1_N	PF16414.5	1	1	1	1	1	1	1	1	1
Fip1	PF05182.13	1	1	1	1	1	1	1	1	1
Nfu_N	PF08712.11	1	1	1	1	1	1	1	1	1
PMC2NT	PF08066.12	1	1	1	1	1	1	1	1	1
TMF_TATA_bd	PF12325.8	1	1	1	1	1	1	1	1	1
Thioredoxin_14	PF18402.1	1	1	1	1	1	1	1	1	1
UBD	PF16455.5	1	1	1	1	1	1	1	1	1
CAP_N	PF01213.19	1	1	1	1	1	1	1	1	1
MMtag	PF10159.9	1	1	1	1	1	1	1	1	1
Ribonuc_2-5A	PF06479.12	1	1	1	1	1	1	1	1	1
SIN1_PH	PF16979.5	1	1	1	1	1	1	1	1	1
BOP1NT	PF08145.12	1	1	1	1	1	1	1	1	1
Paf1	PF03985.13	1	1	1	1	1	1	1	1	1
DUF953	PF06110.11	1	1	1	1	1	1	1	1	1
CTK3_C	PF12350.8	2	1	1	1	1	1	0	1	1
AIF_C	PF14721.6	1	1	1	1	1	1	1	1	1
Methyltransf_21	PF05050.12	1	1	1	1	1	1	1	1	1
MBA1	PF07961.11	1	1	1	1	1	1	1	1	1
Ebp2	PF05890.12	1	1	1	1	1	1	1	1	1
SPT16	PF08644.11	1	1	1	1	1	1	1	1	1
Ceramidse_alk_C	PF17048.5	1	1	1	1	1	1	1	1	1
CLP1_N	PF16573.5	1	1	1	1	1	1	1	1	1
DUF1729	PF08354.10	1	1	1	1	1	1	1	1	1
LIDHydrolase	PF10230.9	0	1	0	1	0	1	2	2	2
Elong_Iki1	PF10483.9	1	1	1	1	1	1	1	1	1
QRPTase_N	PF02749.16	1	1	1	1	1	1	1	1	1
GN3L_Grn1	PF08701.11	1	1	1	1	1	1	1	1	1
ARS2	PF04959.13	1	1	1	1	1	1	1	1	1
Rer1	PF03248.13	1	1	1	1	1	1	1	1	1
RNA_pol_3_Rpc31	PF11705.8	1	1	1	1	1	1	1	1	1
Nro1	PF12753.7	1	1	1	1	1	1	1	1	1
NUC173	PF08161.12	1	1	1	1	1	1	1	1	1
PIN_6	PF17146.4	1	1	1	1	1	1	1	1	1
SOR_SNZ	PF01680.17	1	1	1	1	1	1	1	1	1
CLPTM1	PF05602.12	1	1	1	1	1	1	1	1	1
Med4	PF10018.9	1	1	1	1	1	1	1	1	1
SCAMP	PF04144.13	1	1	1	1	1	1	1	1	1
UDP-g_GGTase	PF06427.11	1	1	1	1	1	1	1	1	1
AAA_6	PF12774.7	1	1	1	1	1	1	1	1	1
V-ATPase_G	PF03179.15	1	1	1	1	1	1	1	1	1
RPA_C	PF08784.11	1	1	1	1	1	1	1	1	1
TCTP	PF00838.17	1	1	1	1	1	1	1	1	1
Wyosine_form	PF08608.12	1	1	1	1	1	1	1	1	1
DUF3835	PF12927.7	1	1	1	1	1	1	1	1	1
ATP_transf	PF09830.9	1	1	1	1	1	1	1	1	1
Peptidase_C54	PF03416.19	1	1	1	1	1	1	1	1	1
KTI12	PF08433.10	1	1	1	1	1	1	1	1	1
